scenario,horizon_years,fold,model,train_rows,train_failures,validation_rows,validation_failures,test_rows,test_failures,selected_c,calibrator_kind,calibrator_intercept,calibrator_slope,roc_auc,average_precision,brier_score,log_loss,spearman,calibration_intercept,calibration_slope,expected_calibration_error
migration_alpha,3,2,profitability_logit,8936,205,6025,127,7641,196,10.0,platt,2.0339988789972336,1.58450462605753,0.5905147955757184,0.0381359374270176,0.0249409543567212,0.1183798325416643,0.0495701677610249,-0.2225073535388601,0.8811080468275311,0.0059160567195282
migration_alpha,3,2,distress_logit,8936,205,6025,127,7641,196,0.1,platt,-0.2564436650989327,0.9642820159990844,0.6139595126163293,0.0388130530348196,0.024930656920065,0.1179268155572045,0.062409599695008,1.708817750531273,1.3984345797185536,0.0049115075858901
migration_alpha,3,2,industry_rate,8936,205,6025,127,7641,196,,platt,-3.664427307552304,0.0457257407083241,0.5334123709927221,0.0273337713575569,0.0250125121026284,0.119721138758686,0.0183646279096251,-0.2311905876064741,0.8876280563090496,0.0087230708078221
migration_alpha,3,2,occupied_cell_rate,8936,205,6025,127,7641,196,,platt,-3.400476669010481,0.112981787341505,0.5263006948917915,0.0277768216792797,0.025009962566989,0.1196712087580506,0.0144081182720023,-0.2312095789253138,0.8879298599556846,0.0051984865220564
migration_alpha,3,2,relative_axes_logit,8936,205,6025,127,7641,196,10.0,platt,0.69149040137314,1.2177517421926205,0.5536444127684654,0.037751827552996,0.0249856557555939,0.1196917036788267,0.0293782085423217,-1.8657441157835075,0.4629181641418554,0.0076231656746751
migration_alpha,3,2,combined_axes_logit,8936,205,6025,127,7641,196,10.0,platt,-0.2487575205868158,0.9573493247698766,0.5331005605734571,0.0328189532140092,0.0250229483360413,0.1201896518227066,0.0181274269063565,-2.390343324357379,0.3265513186219484,0.0056265652965117
migration_alpha,3,2,hist_gradient_boosting,8936,205,6025,127,7641,196,,platt,-3.113949988235608,0.1824122771490048,0.5044181137868176,0.0265992275985689,0.0250153384293149,0.1198076040572509,0.0024195673227438,-0.2329640428952032,0.8896158367061279,0.0067563623311735
migration_alpha,3,3,profitability_logit,14306,325,7062,147,8415,154,0.01,platt,-2.6562664381520533,0.3163866330899449,0.5770959460585414,0.0263873111693243,0.0179589393984682,0.0911868597204853,0.0357968423749897,-0.2511552663972174,0.9699539912508868,0.0040642277502678
migration_alpha,3,3,distress_logit,14306,325,7062,147,8415,154,0.01,platt,-2.297717439259787,0.4141338527941082,0.5538408450283526,0.0222346234535636,0.0179622018480526,0.0912452401474581,0.0249991386233551,-0.2515227436810365,0.970459388793432,0.0039300863939024
migration_alpha,3,3,industry_rate,14306,325,7062,147,8415,154,,platt,-4.643278656156362,-0.208663519122165,0.501656979988901,0.0178688320060291,0.0179747880597635,0.0915751935012287,0.0007721379833323,-0.2511266867596567,0.967954227841956,0.0040540426389245
migration_alpha,3,3,occupied_cell_rate,14306,325,7062,147,8415,154,,platt,-3.750012698290365,0.0258151699648777,0.5465742646168744,0.0209272752562733,0.0179705919845141,0.0914750281256973,0.0216278727584794,-0.2516092303427447,0.9690737968275992,0.0043929099762001
migration_alpha,3,3,relative_axes_logit,14306,325,7062,147,8415,154,0.01,platt,-2.6132008141499448,0.3297785559128475,0.5703630892772643,0.026012392538099,0.0179564259586051,0.0911174125564052,0.0326706726455425,-0.2505103159048186,0.968363441256232,0.005105991157182
migration_alpha,3,3,combined_axes_logit,14306,325,7062,147,8415,154,0.01,platt,-2.672744569262803,0.3139041876159315,0.5747287756427085,0.0251328824212605,0.0179563406352294,0.0911179479918404,0.0346977284724478,-0.2523643211953162,0.9727146943675378,0.0070439460310002
migration_alpha,3,3,hist_gradient_boosting,14306,325,7062,147,8415,154,,platt,-2.9383196523022472,0.2416815261440083,0.5437519749346404,0.0228777234524606,0.0179646720327052,0.0913324960110952,0.0203147267501775,-0.2528457960830356,0.9724045987301014,0.0032480655356036
migration_alpha,3,4,profitability_logit,20722,440,7958,181,9163,205,10.0,platt,1.567522750131997,1.3950665674635527,0.6180925620374756,0.0367420306020483,0.0217938883127073,0.1053717091652519,0.0605003578472034,-0.2430401524304929,0.9386238850991008,0.0041692482698156
migration_alpha,3,4,distress_logit,20722,440,7958,181,9163,205,0.1,platt,1.197985384504711,1.3132417484994223,0.5964299522432598,0.029514165815199,0.0218483093650343,0.1061782130297833,0.0494023206648237,-0.9470598984195656,0.7474027847087963,0.0046044006283056
migration_alpha,3,4,industry_rate,20722,440,7958,181,9163,205,,platt,-3.1666591189152014,0.153795667810149,0.4801684282750396,0.022105918936607,0.0218753478088718,0.1072101914843145,-0.0101960962496893,-0.249801624398987,0.938274382631484,0.0052197181753681
migration_alpha,3,4,occupied_cell_rate,20722,440,7958,181,9163,205,,platt,-2.667250557199797,0.2774094854334076,0.5251071395509669,0.0256312190161574,0.0218695623022838,0.1070876530927757,0.012863601486551,-0.2489238794565033,0.9375699109656216,0.0040822685926167
migration_alpha,3,4,relative_axes_logit,20722,440,7958,181,9163,205,10.0,platt,-0.2395000560253843,0.9279183818196052,0.5938542466469541,0.0284431450171957,0.0218405075322152,0.1062747128672043,0.0480827531378483,-0.2398108587117303,0.9270331843488888,0.0052299001585683
migration_alpha,3,4,combined_axes_logit,20722,440,7958,181,9163,205,0.01,platt,-0.2417607248023323,0.9304147815453424,0.5890121379445543,0.0280892925511692,0.0218458470345936,0.1063872623568357,0.045602077774485,-0.2447508582805794,0.9348635507593082,0.0043905147675623
migration_alpha,3,4,hist_gradient_boosting,20722,440,7958,181,9163,205,,platt,-2.284822058241053,0.3893600171108973,0.5142605873480035,0.0236376889500232,0.0218804272244964,0.1072710243386396,0.0073058848266378,-0.247574782589947,0.933922346213568,0.0042910071008256
migration_alpha,5,1,profitability_logit,2378,101,4298,155,6523,213,0.1,platt,0.7017681774487002,1.284156705571193,0.5301994747141061,0.0364020498319726,0.0317027058259805,0.1452375714114346,0.0185928994182822,-2.60488175166953,0.2335358241931724,0.0088493334704264
