gvkey,feature_date,archetype,viability_level,pc1,pc2
101731,2020-03-31,Noise / Unassigned,,0.052545159194148795,1.2930717118987385
101758,2020-03-31,Noise / Unassigned,,-1.396136734085824,0.9757198791877473
101779,2020-03-31,Noise / Unassigned,,-1.9867443511741172,3.947157217597999
101819,2020-03-31,Noise / Unassigned,,0.04505527639289784,-1.1621907278267392
101900,2020-03-31,Noise / Unassigned,,-0.703008321401762,-1.0640377198415125
102015,2020-03-31,Noise / Unassigned,,-0.6398902583080485,1.1616522902791857
102020,2020-03-31,Noise / Unassigned,,0.013250356263180933,-1.179119941656964
102081,2020-03-31,Noise / Unassigned,,-2.2921860166428303,1.0422448997292186
102114,2020-03-31,Noise / Unassigned,,-0.9988479711440783,4.013376496466673
102175,2020-03-31,Noise / Unassigned,,0.8450829744275347,0.28697615618928674
102315,2020-03-31,Noise / Unassigned,,-1.3163760656662613,3.9453733565021203
102330,2020-03-31,Noise / Unassigned,,-0.213091214204329,0.4555409885092584
102337,2020-03-31,Noise / Unassigned,,-0.27462940190477425,0.8204806959388997
102454,2020-03-31,Noise / Unassigned,,1.4158501042366785,-0.9343234309913883
102489,2020-03-31,Noise / Unassigned,,-0.8602720501670635,1.1871572532054848
102533,2020-03-31,Noise / Unassigned,,0.6020519656865703,-1.0780682398038905
102625,2020-03-31,Noise / Unassigned,,-1.641349742667367,-1.256218217095197
102632,2020-03-31,Noise / Unassigned,,-1.8086371388284068,0.9183149088993718
102675,2020-03-31,Noise / Unassigned,,-0.0712708171408444,-1.0827354571245016
102889,2020-03-31,Noise / Unassigned,,-0.4358854194364573,0.8536866382645525
102925,2020-03-31,Noise / Unassigned,,2.0660010512930116,1.1059536462292348
102928,2020-03-31,Noise / Unassigned,,1.6230484056971826,1.1678422864407205
102940,2020-03-31,Noise / Unassigned,,2.854326206923901,-1.1133960930771691
102964,2020-03-31,Noise / Unassigned,,-2.1341249485711256,3.8638077775394404
102970,2020-03-31,Noise / Unassigned,,-0.47592705237041716,-0.8455894977646116
100011,2020-04-30,Archetype B,,-0.3742669995563015,-1.3085934389219496
100025,2020-04-30,Noise / Unassigned,,-0.8859963422957361,-1.218427226092719
100047,2020-04-30,Noise / Unassigned,,1.6698352228990672,3.885494285823146
100049,2020-04-30,Noise / Unassigned,,0.22017910275711974,-1.1264895307825746
100290,2020-04-30,Noise / Unassigned,,0.2201896860554635,1.5945964713158116
100299,2020-04-30,Noise / Unassigned,,-3.7016459884816006,-0.1523978712750151
100333,2020-04-30,Noise / Unassigned,,0.4975232673221748,-1.2810701534251643
100356,2020-04-30,Noise / Unassigned,,2.3267318400736428,1.056530603450081
100380,2020-04-30,Noise / Unassigned,,-1.2638401591927213,-1.0153080606102378
100411,2020-04-30,Noise / Unassigned,,1.782788594607476,-0.8522775023821074
100416,2020-04-30,Noise / Unassigned,,0.5993474358716709,-1.007762721651246
100456,2020-04-30,Noise / Unassigned,,-0.08958876938876029,-0.9199847359785298
100463,2020-04-30,Noise / Unassigned,,-0.5761868638258303,0.19734669328088372
100652,2020-04-30,Noise / Unassigned,,2.1114411667669857,0.8858045627616535
100800,2020-04-30,Noise / Unassigned,,0.7820078253358762,1.2283049887208388
100821,2020-04-30,Noise / Unassigned,,-1.9307760882022844,0.4940656705954536
100870,2020-04-30,Noise / Unassigned,,-3.7349534635383566,3.7097757689216557
100956,2020-04-30,Noise / Unassigned,,1.4995830134428303,0.2580376564746987
100984,2020-04-30,Noise / Unassigned,,1.0448834420462332,0.8790889448115129
100999,2020-04-30,Noise / Unassigned,,0.25083707830903595,-1.2578427273678097
101037,2020-04-30,Noise / Unassigned,,-1.084257992659286,0.04939950597724735
101044,2020-04-30,Noise / Unassigned,,-0.4087557678871038,0.1827837113211616
101045,2020-04-30,Noise / Unassigned,,-1.207132544357094,0.6501700081552985
101103,2020-04-30,Noise / Unassigned,,-0.3502465553284019,-0.06792459471691836
101136,2020-04-30,Noise / Unassigned,,2.284760049111352,-0.8131921834315333
101138,2020-04-30,Noise / Unassigned,,0.649103678785713,3.85554099787068
101232,2020-04-30,Noise / Unassigned,,0.07147287992568227,-1.2387951461328286
101238,2020-04-30,Noise / Unassigned,,-0.133603008192419,0.814070281202155
101255,2020-04-30,Noise / Unassigned,,0.04687304664289443,-1.3026801581260923
101329,2020-04-30,Noise / Unassigned,,-0.312883530967308,0.13162234730393896
101331,2020-04-30,Noise / Unassigned,,-0.37944814948487054,0.7468470188133776
101388,2020-04-30,Noise / Unassigned,,2.354539439309103,-1.293722736018929
101446,2020-04-30,Noise / Unassigned,,-0.9185598701324674,0.9288720513003212
101460,2020-04-30,Noise / Unassigned,,1.331023894371965,0.1550804679236889
101629,2020-04-30,Noise / Unassigned,,0.15262241644993285,3.9200739666548428
101630,2020-04-30,Noise / Unassigned,,1.4134434099830304,-1.3359416476715946
101633,2020-04-30,Noise / Unassigned,,-1.4290985803274627,0.7920121651934169
101641,2020-04-30,Noise / Unassigned,,0.6801354193622505,1.5281530135403862
101645,2020-04-30,Noise / Unassigned,,0.17195119519781363,0.18092050393559833
101659,2020-04-30,Noise / Unassigned,,-1.5022302543526207,0.0008225460931525763
101671,2020-04-30,Noise / Unassigned,,1.2699547161081524,1.307290895379053
101699,2020-04-30,Noise / Unassigned,,-0.6680143345436651,-0.8224851087285914
101721,2020-04-30,Noise / Unassigned,,-0.16849172473310794,1.113158333893536
101728,2020-04-30,Noise / Unassigned,,1.0419970845448,-1.3434495807861324
101765,2020-04-30,Noise / Unassigned,,-0.8643662134792698,-1.2774448605259854
101777,2020-04-30,Noise / Unassigned,,-2.3614934279520208,3.898999416072967
101786,2020-04-30,Noise / Unassigned,,0.2998911372368177,-1.2414363130508281
101820,2020-04-30,Noise / Unassigned,,-1.3357696256650926,1.57288199223285
101827,2020-04-30,Noise / Unassigned,,0.6805418251844498,1.0564790181262336
101874,2020-04-30,Noise / Unassigned,,-1.329942795685777,-0.8392366026981173
101885,2020-04-30,Noise / Unassigned,,0.1706127106905302,1.5085184770892655
101901,2020-04-30,Noise / Unassigned,,0.6263246118074911,0.989035092325075
101907,2020-04-30,Noise / Unassigned,,1.1371997610493614,1.118140370999502
101969,2020-04-30,Noise / Unassigned,,-0.2998051973086199,-1.3291121001378696
102012,2020-04-30,Noise / Unassigned,,3.1730512309124212,0.8256574522917333
102017,2020-04-30,Noise / Unassigned,,0.45238734965772065,0.12815692299776849
102104,2020-04-30,Noise / Unassigned,,0.9045552714408945,3.912563646668878
102201,2020-04-30,Noise / Unassigned,,0.562248299630345,3.8012095291216443
102226,2020-04-30,Noise / Unassigned,,0.9731903909990679,-0.8867050505726705
102312,2020-04-30,Noise / Unassigned,,2.3619374108051323,-0.9485708067462993
102320,2020-04-30,Noise / Unassigned,,-1.1875146733326807,-1.3679087921489461
102331,2020-04-30,Noise / Unassigned,,-3.495272759591517,3.824579719732526
102365,2020-04-30,Noise / Unassigned,,3.6055672156894376,-1.3787386012819034
102514,2020-04-30,Noise / Unassigned,,0.45627904237228234,0.32903441599373784
102573,2020-04-30,Noise / Unassigned,,1.7116835604419691,0.09222617333552924
102643,2020-04-30,Noise / Unassigned,,-1.5553417283925723,1.1859803135560743
102748,2020-04-30,Noise / Unassigned,,0.840879221376985,1.0252681600291587
102797,2020-04-30,Noise / Unassigned,,1.041068198024059,1.6499140412657147
102807,2020-04-30,Noise / Unassigned,,-0.511170102084802,0.06019036183925508
102909,2020-04-30,Noise / Unassigned,,1.4092801370821924,-0.8090689246784726
102931,2020-04-30,Noise / Unassigned,,-1.4991591956554673,3.738457534577015
100012,2020-05-31,Noise / Unassigned,,0.5016727001700788,0.6409498813065586
100028,2020-05-31,Noise / Unassigned,,1.7081171262698527,-0.9632034221266663
100114,2020-05-31,Archetype A,,-0.03674514327875192,-0.9711810286846821
100149,2020-05-31,Noise / Unassigned,,3.8080601943630588,-0.9455432380258677
100183,2020-05-31,Noise / Unassigned,,2.7684456563249116,-1.1335837602333274
100232,2020-05-31,Noise / Unassigned,,-2.6420982153851797,3.4572287794104755
100244,2020-05-31,Noise / Unassigned,,0.8608358735713227,-0.897805453676676
100266,2020-05-31,Noise / Unassigned,,-0.29660787728220356,1.528423096240207
100336,2020-05-31,Noise / Unassigned,,2.778164155725833,-1.0765671073032
100430,2020-05-31,Noise / Unassigned,,0.9515864649301738,-1.4152237388745714
100484,2020-05-31,Noise / Unassigned,,1.6961549895702364,3.405665013245593
100568,2020-05-31,Noise / Unassigned,,-0.7853425076399058,0.5385786054966181
100626,2020-05-31,Noise / Unassigned,,-0.6047284975175632,-0.22534430887727136
100647,2020-05-31,Noise / Unassigned,,-0.622439733015643,-0.9776196190633349
100673,2020-05-31,Noise / Unassigned,,0.6983316211821838,3.3987172663707055
100691,2020-05-31,Archetype A,,-0.13813483896313672,-1.3610846630273858
100714,2020-05-31,Noise / Unassigned,,-0.8267373585706136,-1.4535533930745137
100746,2020-05-31,Noise / Unassigned,,-3.051987633122558,-1.1167509322900464
100755,2020-05-31,Noise / Unassigned,,1.4150571108205554,0.635625667216271
100829,2020-05-31,Noise / Unassigned,,-2.0456673051039345,3.5728036581422344
100840,2020-05-31,Noise / Unassigned,,0.02855336340401008,0.45362209097536477
100903,2020-05-31,Noise / Unassigned,,0.245971679750315,-1.336280660133737
100979,2020-05-31,Noise / Unassigned,,0.6329614669391012,-0.9534441918706905
100993,2020-05-31,Noise / Unassigned,,1.3288014868792666,0.1616323193478577
101093,2020-05-31,Noise / Unassigned,,1.8109937568879526,1.2849168675173814
101146,2020-05-31,Noise / Unassigned,,-1.276082476487072,-0.11046842123446707
101182,2020-05-31,Noise / Unassigned,,0.5747005686876255,-1.0773165203540338
101234,2020-05-31,Noise / Unassigned,,0.37747543731109445,0.7186872766793403
101289,2020-05-31,Noise / Unassigned,,0.8363595454566839,-0.8473410183897875
101298,2020-05-31,Noise / Unassigned,,0.13876775397900112,-1.2298799227479487
101342,2020-05-31,Noise / Unassigned,,-0.907327972812157,-0.883825873539026
101359,2020-05-31,Noise / Unassigned,,-3.4451536515351293,-0.0001291018188950832
101362,2020-05-31,Noise / Unassigned,,-1.1972780194571928,1.1399694110924454
101537,2020-05-31,Noise / Unassigned,,-0.3088879753093872,0.6543899283147109
101544,2020-05-31,Noise / Unassigned,,-0.3248093694345819,3.374596315164787
101552,2020-05-31,Noise / Unassigned,,0.4646308078478759,0.7422947413986734
101576,2020-05-31,Noise / Unassigned,,0.22333474975854786,1.6319113610432103
101589,2020-05-31,Noise / Unassigned,,3.266338128878207,-1.0156173817009502
101759,2020-05-31,Noise / Unassigned,,-0.6276022974676381,0.3764534565956378
101844,2020-05-31,Noise / Unassigned,,-0.707401876137932,-0.10356459552535413
101852,2020-05-31,Noise / Unassigned,,3.454894870667195,-1.2447504976726105
101880,2020-05-31,Noise / Unassigned,,-0.3380412155658613,3.5469061154607493
101959,2020-05-31,Noise / Unassigned,,0.0987495150273037,-1.4440449030277216
102082,2020-05-31,Noise / Unassigned,,-1.865319756577425,-0.18816385144985798
102094,2020-05-31,Noise / Unassigned,,-0.363980369462338,-1.6695662674499265
102124,2020-05-31,Noise / Unassigned,,3.0279988840321077,0.8321022880685507
102192,2020-05-31,Noise / Unassigned,,-0.660542075834337,0.708514606767029
102246,2020-05-31,Noise / Unassigned,,0.281856470673566,0.6039168446700015
102314,2020-05-31,Noise / Unassigned,,-2.7675070868799065,-1.305892858883501
102421,2020-05-31,Noise / Unassigned,,-0.5403152685548415,-1.375013338777228
102510,2020-05-31,Noise / Unassigned,,0.02175840779695181,-1.5062091207656878
102526,2020-05-31,Noise / Unassigned,,-1.4548009988155273,-0.9128641818422913
102552,2020-05-31,Noise / Unassigned,,0.7893162606595978,3.4826527975226744
102567,2020-05-31,Noise / Unassigned,,2.8074523848779096,-1.1261799427144763
102579,2020-05-31,Noise / Unassigned,,0.6480961161479024,-1.2046520341583808
102599,2020-05-31,Noise / Unassigned,,1.7289630639639266,-1.000149435903857
102847,2020-05-31,Noise / Unassigned,,-0.14408337441734123,1.0661169266148247
102891,2020-05-31,Noise / Unassigned,,-1.2161878388709795,1.062561470116792
102917,2020-05-31,Noise / Unassigned,,-0.8780980135355417,-1.28648068799958
102967,2020-05-31,Noise / Unassigned,,-1.8705763932317394,1.4379517315193768
100203,2020-06-30,Noise / Unassigned,,-2.6038472271218067,0.6385094341461018
100422,2020-06-30,Noise / Unassigned,,1.044087251570063,0.6848960835754861
102513,2020-06-30,Noise / Unassigned,,3.587024993195462,0.16418043781353214
102768,2020-06-30,Noise / Unassigned,,-0.9485818548839339,0.7760386886635238
100163,2021-02-28,Noise / Unassigned,,-0.47862638225578424,1.1845602060082792
101969,2021-02-28,Noise / Unassigned,,0.6325938798270603,-1.0306157149164545
102049,2021-02-28,Noise / Unassigned,,-0.3940623783923153,-1.2402681189599845
102707,2021-02-28,Noise / Unassigned,,0.6956334420200594,-0.3001036963649738
100048,2021-03-31,Noise / Unassigned,,-2.1219764787542115,3.334266896729651
100073,2021-03-31,Noise / Unassigned,,-1.6216065424540929,-1.3220837053441028
100085,2021-03-31,Noise / Unassigned,,0.9700206916094728,1.4516912363101115
100092,2021-03-31,Noise / Unassigned,,-2.3698146804734246,-0.10218787891478068
100161,2021-03-31,Noise / Unassigned,,-0.06578743611840543,-0.904913222435078
100197,2021-03-31,Noise / Unassigned,,-0.777726039794312,-1.464548833802651
100345,2021-03-31,Noise / Unassigned,,-0.5947243219178975,-1.2261346559966095
100357,2021-03-31,Noise / Unassigned,,1.2710222707433447,-0.7392080271615848
100392,2021-03-31,Noise / Unassigned,,0.6686583295622437,1.2324194291401749
100428,2021-03-31,Noise / Unassigned,,-0.38201469883272443,-1.1618219693472103
100527,2021-03-31,Noise / Unassigned,,-0.06987263394294789,-0.8290556540062931
100534,2021-03-31,Noise / Unassigned,,2.227315720997074,0.5293024785677469
100544,2021-03-31,Noise / Unassigned,,0.7823184236461972,0.4750749354298698
100576,2021-03-31,Noise / Unassigned,,0.2672094252617028,1.2137583562651582
100619,2021-03-31,Noise / Unassigned,,-0.8453525146150329,1.1248346020976994
100734,2021-03-31,Noise / Unassigned,,-0.2755383114150249,-1.7469575186405644
100737,2021-03-31,Noise / Unassigned,,-2.081758041403271,-0.028337915654699314
100764,2021-03-31,Noise / Unassigned,,-0.313326927854952,0.893375609443853
100906,2021-03-31,Noise / Unassigned,,0.8934435422897414,0.5916578817641588
100957,2021-03-31,Noise / Unassigned,,-0.8946378407745637,0.04735296317286447
101012,2021-03-31,Noise / Unassigned,,0.5718015142534533,1.0269748302621011
101023,2021-03-31,Noise / Unassigned,,3.35436890094652,1.3834102871926979
101044,2021-03-31,Noise / Unassigned,,0.6873000773440655,-1.0867907135252606
101050,2021-03-31,Noise / Unassigned,,-2.2717011265808535,-0.8255599967467407
101094,2021-03-31,Noise / Unassigned,,4.067417584735084,1.533817770951249
101104,2021-03-31,Noise / Unassigned,,2.361524138040133,1.1566895396453023
101119,2021-03-31,Noise / Unassigned,,1.6092547508718387,-0.9509415842049803
101134,2021-03-31,Noise / Unassigned,,-0.9223777396706346,-1.4099659735692018
101458,2021-03-31,Noise / Unassigned,,1.9694062070693203,0.5526112853080756
101492,2021-03-31,Noise / Unassigned,,1.3688474192496332,-0.9768343668543243
101496,2021-03-31,Noise / Unassigned,,0.9254707025014617,0.414109555911919
101502,2021-03-31,Noise / Unassigned,,1.1306990412902937,1.4013718316816757
101567,2021-03-31,Noise / Unassigned,,3.4418253257274523,1.3838991543315646
101659,2021-03-31,Noise / Unassigned,,0.3524690916091427,-1.3069327579078327
101674,2021-03-31,Noise / Unassigned,,0.9663445916745773,-1.140262141605242
101700,2021-03-31,Noise / Unassigned,,-2.999159101820701,3.264859578286634
101710,2021-03-31,Noise / Unassigned,,-1.885275383951911,1.6405825534613834
101785,2021-03-31,Noise / Unassigned,,-0.552229801948028,0.1018464906620476
101850,2021-03-31,Noise / Unassigned,,-2.552743977999213,1.5885240717359448
101886,2021-03-31,Noise / Unassigned,,-1.3910572327082575,-1.1607706049999882
101907,2021-03-31,Noise / Unassigned,,2.8844370846873093,0.7164993344296312
101947,2021-03-31,Noise / Unassigned,,-0.5094353460884972,-1.2407754475900723
102084,2021-03-31,Noise / Unassigned,,1.4511492088859361,1.5894607324601877
102191,2021-03-31,Noise / Unassigned,,0.772799217198554,3.580726847487006
102202,2021-03-31,Noise / Unassigned,,0.4787048415920073,1.185924173105713
102317,2021-03-31,Noise / Unassigned,,1.9958914722811725,-0.8594978276890775
102366,2021-03-31,Noise / Unassigned,,-1.5767849555140117,1.0832472553284955
102404,2021-03-31,Noise / Unassigned,,0.6824919876061816,-0.898349009775499
102425,2021-03-31,Noise / Unassigned,,1.108726336032112,1.3410845171577392
102462,2021-03-31,Noise / Unassigned,,-0.7046629099797644,1.4294893771502708
102492,2021-03-31,Noise / Unassigned,,0.6480786635084873,0.5171097179944958
102521,2021-03-31,Noise / Unassigned,,0.34464387145040576,-1.3138888582319923
102594,2021-03-31,Noise / Unassigned,,-0.25572349904016106,1.45999798286446
