cell_id,observations,firms,share
221022,5,5,8.488676106074497e-05
022201,5,5,8.488676106074497e-05
211022,5,5,8.488676106074497e-05
021210,5,5,8.488676106074497e-05
200120,5,5,8.488676106074497e-05
021022,5,4,8.488676106074497e-05
210012,5,5,8.488676106074497e-05
212100,4,4,6.790940884859597e-05
220102,4,4,6.790940884859597e-05
002120,4,4,6.790940884859597e-05
200021,4,3,6.790940884859597e-05
211200,4,4,6.790940884859597e-05
020021,4,4,6.790940884859597e-05
020202,4,4,6.790940884859597e-05
200220,4,4,6.790940884859597e-05
012201,4,4,6.790940884859597e-05
222101,4,4,6.790940884859597e-05
201022,4,4,6.790940884859597e-05
000120,4,4,6.790940884859597e-05
000200,4,4,6.790940884859597e-05
110020,4,4,6.790940884859597e-05
001021,4,4,6.790940884859597e-05
102020,4,4,6.790940884859597e-05
112202,4,4,6.790940884859597e-05
220100,4,4,6.790940884859597e-05
022220,4,4,6.790940884859597e-05
100020,4,4,6.790940884859597e-05
220010,4,4,6.790940884859597e-05
002200,4,4,6.790940884859597e-05
212022,4,4,6.790940884859597e-05
002201,4,4,6.790940884859597e-05
212210,3,3,5.0932056636446976e-05
210020,3,3,5.0932056636446976e-05
002021,3,3,5.0932056636446976e-05
102200,3,3,5.0932056636446976e-05
001202,3,3,5.0932056636446976e-05
020120,3,3,5.0932056636446976e-05
211002,3,3,5.0932056636446976e-05
012020,3,3,5.0932056636446976e-05
202100,3,3,5.0932056636446976e-05
202220,3,3,5.0932056636446976e-05
000202,3,3,5.0932056636446976e-05
222022,3,3,5.0932056636446976e-05
222020,3,3,5.0932056636446976e-05
012022,3,3,5.0932056636446976e-05
222012,3,3,5.0932056636446976e-05
011202,3,3,5.0932056636446976e-05
002022,3,3,5.0932056636446976e-05
221002,3,3,5.0932056636446976e-05
022022,3,3,5.0932056636446976e-05
200001,3,3,5.0932056636446976e-05
210102,3,3,5.0932056636446976e-05
210021,3,3,5.0932056636446976e-05
010021,3,3,5.0932056636446976e-05
021020,3,3,5.0932056636446976e-05
021220,3,3,5.0932056636446976e-05
200000,3,3,5.0932056636446976e-05
222200,2,2,3.3954704424297986e-05
200012,2,2,3.3954704424297986e-05
200002,2,2,3.3954704424297986e-05
022202,2,2,3.3954704424297986e-05
202001,2,2,3.3954704424297986e-05
