scenario,horizon_years,fold,model,candidate,validation_brier
migration_alpha,3,3,distress_logit,C=0.01,0.0203971899260685
migration_alpha,3,3,distress_logit,C=0.1,0.0204204186494403
migration_alpha,3,3,distress_logit,C=1,0.0204262390877035
migration_alpha,3,3,distress_logit,C=10,0.0204274392561483
migration_alpha,3,3,industry_rate,sic2_smoothed_rate,0.020448456849842
migration_alpha,3,3,occupied_cell_rate,training_tertile_729_cell_rate,0.0206190619400862
migration_alpha,3,3,relative_axes_logit,C=0.01,0.0204172356568471
migration_alpha,3,3,relative_axes_logit,C=0.1,0.0204510449904072
migration_alpha,3,3,relative_axes_logit,C=1,0.0204574441140123
migration_alpha,3,3,relative_axes_logit,C=10,0.0204581457744323
migration_alpha,3,3,combined_axes_logit,C=0.01,0.0204287522293769
migration_alpha,3,3,combined_axes_logit,C=0.1,0.0204514348599577
migration_alpha,3,3,combined_axes_logit,C=1,0.0204572220008552
migration_alpha,3,3,combined_axes_logit,C=10,0.0204578972404021
migration_alpha,3,3,hist_gradient_boosting,fixed_constrained_tree,0.0204638105990577
migration_alpha,3,4,profitability_logit,C=0.01,0.022145808812366
migration_alpha,3,4,profitability_logit,C=0.1,0.0221376064087097
migration_alpha,3,4,profitability_logit,C=1,0.0221367161807742
migration_alpha,3,4,profitability_logit,C=10,0.0221366267509986
migration_alpha,3,4,distress_logit,C=0.01,0.0221455851206964
migration_alpha,3,4,distress_logit,C=0.1,0.0221440664782788
migration_alpha,3,4,distress_logit,C=1,0.0221455900019246
migration_alpha,3,4,distress_logit,C=10,0.0221459438012081
migration_alpha,3,4,industry_rate,sic2_smoothed_rate,0.0222501923760689
migration_alpha,3,4,occupied_cell_rate,training_tertile_729_cell_rate,0.0223413718212845
migration_alpha,3,4,relative_axes_logit,C=0.01,0.0221525164926216
migration_alpha,3,4,relative_axes_logit,C=0.1,0.0221464129629739
migration_alpha,3,4,relative_axes_logit,C=1,0.0221460953575294
migration_alpha,3,4,relative_axes_logit,C=10,0.0221460939760199
migration_alpha,3,4,combined_axes_logit,C=0.01,0.022158557333758
migration_alpha,3,4,combined_axes_logit,C=0.1,0.0221804234770803
migration_alpha,3,4,combined_axes_logit,C=1,0.0221964930868085
migration_alpha,3,4,combined_axes_logit,C=10,0.0221972605430944
migration_alpha,3,4,hist_gradient_boosting,fixed_constrained_tree,0.0222863546958034
migration_alpha,5,1,profitability_logit,C=0.01,0.0346313256385492
migration_alpha,5,1,profitability_logit,C=0.1,0.0345839796282641
migration_alpha,5,1,profitability_logit,C=1,0.0345854516900921
migration_alpha,5,1,profitability_logit,C=10,0.0345859104553954
migration_alpha,5,1,distress_logit,C=0.01,0.0347274478168015
migration_alpha,5,1,distress_logit,C=0.1,0.0348568324052265
migration_alpha,5,1,distress_logit,C=1,0.0349058075508046
migration_alpha,5,1,distress_logit,C=10,0.034912473468249
migration_alpha,5,1,industry_rate,sic2_smoothed_rate,0.0362986185149671
migration_alpha,5,1,occupied_cell_rate,training_tertile_729_cell_rate,0.035209690106818
migration_alpha,5,1,relative_axes_logit,C=0.01,0.0347210199122518
migration_alpha,5,1,relative_axes_logit,C=0.1,0.0348409020955231
migration_alpha,5,1,relative_axes_logit,C=1,0.0349112188685543
migration_alpha,5,1,relative_axes_logit,C=10,0.0349213572616563
migration_alpha,5,1,combined_axes_logit,C=0.01,0.0346704765738717
migration_alpha,5,1,combined_axes_logit,C=0.1,0.0347365063015117
migration_alpha,5,1,combined_axes_logit,C=1,0.034828522907354
migration_alpha,5,1,combined_axes_logit,C=10,0.0348649923403601
migration_alpha,5,1,hist_gradient_boosting,fixed_constrained_tree,0.036123099941506
migration_alpha,5,2,profitability_logit,C=0.01,0.0346864540653516
migration_alpha,5,2,profitability_logit,C=0.1,0.034683944532546
migration_alpha,5,2,profitability_logit,C=1,0.0346841515879091
migration_alpha,5,2,profitability_logit,C=10,0.0346841786698991
migration_alpha,5,2,distress_logit,C=0.01,0.0347131494806439
migration_alpha,5,2,distress_logit,C=0.1,0.0347611129368159
migration_alpha,5,2,distress_logit,C=1,0.0347886665690347
migration_alpha,5,2,distress_logit,C=10,0.0347946301516879
migration_alpha,5,2,industry_rate,sic2_smoothed_rate,0.0352819934173117
migration_alpha,5,2,occupied_cell_rate,training_tertile_729_cell_rate,0.0348614513486122
migration_alpha,5,2,relative_axes_logit,C=0.01,0.0347544837314771
migration_alpha,5,2,relative_axes_logit,C=0.1,0.0348234398701824
migration_alpha,5,2,relative_axes_logit,C=1,0.0348368483486007
migration_alpha,5,2,relative_axes_logit,C=10,0.0348383226861526
migration_alpha,5,2,combined_axes_logit,C=0.01,0.0347816174556617
migration_alpha,5,2,combined_axes_logit,C=0.1,0.034834563727844
migration_alpha,5,2,combined_axes_logit,C=1,0.0348627499993692
migration_alpha,5,2,combined_axes_logit,C=10,0.034871180467814
migration_alpha,5,2,hist_gradient_boosting,fixed_constrained_tree,0.0360918679209479
migration_alpha,5,3,profitability_logit,C=0.01,0.0316291679188771
migration_alpha,5,3,profitability_logit,C=0.1,0.0316444021990942
migration_alpha,5,3,profitability_logit,C=1,0.0316465082336065
migration_alpha,5,3,profitability_logit,C=10,0.0316467283219222
migration_alpha,5,3,distress_logit,C=0.01,0.0316304009321935
migration_alpha,5,3,distress_logit,C=0.1,0.0316380386259709
migration_alpha,5,3,distress_logit,C=1,0.0316420833677194
