scenario,horizon_years,fold,model,train_rows,train_failures,validation_rows,validation_failures,test_rows,test_failures,selected_c,validation_brier_uncalibrated,roc_auc,average_precision,brier_score,log_loss,spearman,calibration_intercept,calibration_slope,expected_calibration_error
migration_alpha,5,1,financial_plus_hypercube_logit,2378,101,4298,155,6523,213,0.01,0.03468389634783362,0.5362633274554883,0.04113109818077655,0.03163332008921752,0.14438282485031947,0.02232622939091026,-1.929096571864919,0.4465855612626641,0.009059914653550582
migration_alpha,5,2,financial_baseline_logit,5433,215,5497,198,7498,296,0.01,0.03470129974419423,0.5782890638486305,0.05427363188502732,0.03781376743627788,0.164904429046607,0.052810308538276694,1.1725294515459843,1.3387078995561017,0.008127809379209313
migration_alpha,5,2,financial_plus_hypercube_logit,5433,215,5497,198,7498,296,0.01,0.03476937117729542,0.5569056455789309,0.046969494556384675,0.037873561881939403,0.1656648279788032,0.03838600888629377,-0.2732901996423553,0.8966950357864342,0.004595189022571385
migration_alpha,5,3,financial_baseline_logit,9731,370,6523,213,8262,265,0.01,0.03163406929369309,0.5555356843722056,0.042042085997727505,0.031008215907388146,0.14128571645074986,0.03389721739329165,3.3543429531296156,1.997719530395005,0.007079264794698143
migration_alpha,5,3,financial_plus_hypercube_logit,9731,370,6523,213,8262,265,0.01,0.03166593988198153,0.5593880724139477,0.03904759356213811,0.031006614249611455,0.14122284965861842,0.03624859266507281,1.4726597264218746,1.4546155273442867,0.005030135138745112
migration_alpha,5,4,financial_baseline_logit,15228,568,7498,296,8964,343,0.01,0.03778816807033389,0.5671120387770996,0.049605242227770754,0.03672659558594119,0.16136556211110709,0.04459797017523405,-0.6556956615017345,0.8009231553753482,0.004201714772851096
migration_alpha,5,4,financial_plus_hypercube_logit,15228,568,7498,296,8964,343,0.01,0.037823485265093035,0.5572375137935268,0.04398606358022861,0.036791621134897166,0.1619954816148639,0.03803605105108642,-1.114476291980714,0.6622201239535819,0.005053433795530114
regime_shift,3,1,financial_baseline_logit,4936,121,4707,94,6424,132,0.01,0.019557099575960805,0.4968635015122618,0.020331410751290857,0.02015652823779433,0.10091839322202976,-0.00154138632292403,-3.881954382674781,-0.004734086240651983,0.005150630993273411
regime_shift,3,1,financial_plus_hypercube_logit,4936,121,4707,94,6424,132,0.01,0.019557542968284252,0.4890999152362789,0.020367363833075178,0.02016280348057147,0.1010434050808637,-0.005356687286537905,-4.135253152788838,-0.06900817418356422,0.0061858699547050365
regime_shift,3,2,financial_baseline_logit,8957,178,5810,148,7414,134,0.01,0.02486294976642172,0.5138603001476136,0.021954225346008438,0.017812044843219115,0.09185586178055027,0.006396299180395861,-0.28317437691889685,1.0250595794198392,0.008003914046315232
regime_shift,3,2,financial_plus_hypercube_logit,8957,178,5810,148,7414,134,0.01,0.024862998132672467,0.5436556913236018,0.02548309370383365,0.01780924783481323,0.09177561399439087,0.020146379202390242,-0.2854037322842799,1.0307820182193768,0.008541193906059587
regime_shift,3,3,financial_baseline_logit,14131,310,6855,140,8374,182,0.01,0.020081483894288706,0.43827601841517855,0.020230160519957872,0.02129254980116697,0.10548679659193223,-0.031177570388654673,-9.187256094322489,-1.3780479822962566,0.007363384982979309
regime_shift,3,3,financial_plus_hypercube_logit,14131,310,6855,140,8374,182,0.01,0.02007624148901262,0.45216721754807687,0.025501981499334588,0.021275142221906147,0.10505761140926942,-0.024160948524208074,-0.23801055096942356,0.9193275741491107,0.0046770213023817064
regime_shift,3,4,financial_baseline_logit,20354,441,7781,153,9121,182,0.01,0.019278404774809813,0.5204235299324236,0.020517516005550223,0.019563091055650333,0.09797412527245668,0.009893709142678201,-0.23800479252301474,0.9322909776788498,0.003911070965091047
regime_shift,3,4,financial_plus_hypercube_logit,20354,441,7781,153,9121,182,0.01,0.01926683633037592,0.5210812232850492,0.021158834740827775,0.01956788935334123,0.09809695522413042,0.010212313554231025,-2.763092968120497,0.2869121659172629,0.0052880911200081015
regime_shift,5,1,financial_baseline_logit,2509,106,4163,122,6309,220,0.01,0.028644902499011037,0.4895273145314203,0.03272124203253253,0.03369044227733321,0.15188263229079527,-0.006655374354000906,-0.250632122823244,0.8766880396750286,0.00798278960288261
regime_shift,5,1,financial_plus_hypercube_logit,2509,106,4163,122,6309,220,0.01,0.02869539993879908,0.4962443452425387,0.03430892022841228,0.03368580930704904,0.15179944621852798,-0.0023867124082242895,-0.25059273517011904,0.8771243677518487,0.005875538423080089
regime_shift,5,2,financial_baseline_logit,5514,208,5299,225,7243,224,0.01,0.040681344365249825,0.5246562900698105,0.03606485920400626,0.030125296443638414,0.13995439516932864,0.014786367740825005,-0.32537818023100396,1.007447155429122,0.012440775066603562
regime_shift,5,2,financial_plus_hypercube_logit,5514,208,5299,225,7243,224,0.01,0.04067814204697187,0.560597002014939,0.0450465906002635,0.030093283852825052,0.139591478961806,0.036339998971762925,-0.32785645982424044,1.014970831692204,0.013306738755083964
regime_shift,5,3,financial_baseline_logit,9677,330,6309,220,8211,291,0.01,0.033804931919274174,0.4527070533513833,0.03695797128256072,0.03423199298661855,0.15387759500129916,-0.030290053021210166,-8.39806640420235,-1.516878991154447,0.008079811300336913
regime_shift,5,3,financial_plus_hypercube_logit,9677,330,6309,220,8211,291,0.01,0.03384983077978184,0.4636155368114131,0.03563661711230649,0.03419301303752858,0.15330334178807603,-0.023303418315610516,-0.2740292022840303,0.9106238991678192,0.006147572947781473
regime_shift,5,4,financial_baseline_logit,14976,555,7243,224,8935,287,0.01,0.030053158372886586,0.4962485535718314,0.03183385765154072,0.031101928908928926,0.14224406577065313,-0.002291361473680704,-0.2653932365974386,0.9114771415601655,0.006461172104124959
regime_shift,5,4,financial_plus_hypercube_logit,14976,555,7243,224,8935,287,0.01,0.029975846594896154,0.5115315377747408,0.035481563177662434,0.0311414457966847,0.14282306034636147,0.007043395632930451,-2.762142415038234,0.18634719029829072,0.009181507123487191
